"local";"datahora";"casos_acum";"obitos_acum";"semana_epidem"
"Brasil";2020-02-23;2;0;"2020-09"
"Brasil";2020-03-01;19;0;"2020-10"
"Brasil";2020-03-08;121;0;"2020-11"
"Brasil";2020-03-15;1128;18;"2020-12"
"Brasil";2020-03-22;3903;114;"2020-13"
"Brasil";2020-03-29;10278;432;"2020-14"
"Brasil";2020-04-05;20727;1124;"2020-15"
"Brasil";2020-04-12;36599;2347;"2020-16"
"Brasil";2020-04-19;58509;4016;"2020-17"
"Brasil";2020-04-26;96396;6724;"2020-18"
"Brasil";2020-05-03;155939;10627;"2020-19"
"Brasil";2020-05-10;233142;15633;"2020-20"
"Brasil";2020-05-17;347398;22013;"2020-21"
"Brasil";2020-05-24;498440;28834;"2020-22"
"Brasil";2020-05-31;672846;35930;"2020-23"
"Brasil";2020-06-07;850514;42720;"2020-24"
"Brasil";2020-06-14;1067579;49976;"2020-25"
"Brasil";2020-06-21;1313667;57070;"2020-26"
"Brasil";2020-06-28;1577004;64265;"2020-27"
"Brasil";2020-07-05;1839850;71469;"2020-28"
"Brasil";2020-07-12;2075124;78735;"2020-29"
"Brasil";2020-07-19;2394513;86449;"2020-30"
"Brasil";2020-07-26;2707877;93563;"2020-31"
"Brasil";2020-08-02;3012412;100477;"2020-32"
"Brasil";2020-08-09;3317096;107232;"2020-33"
"Brasil";2020-08-16;3582362;114250;"2020-34"
"Brasil";2020-08-23;3844807;120452;"2020-35"
"Brasil";2020-08-30;4113969;126069;"2020-36"
"Brasil";2020-09-06;4315687;131210;"2020-37"
"Brasil";2020-09-13;4528240;136240;"2020-38"
"Brasil";2020-09-20;4717991;141406;"2020-39"
"Brasil";2020-09-27;4906760;145985;"2020-40"
"Brasil";2020-10-04;5082637;150198;"2020-41"
"Brasil";2020-10-11;5224362;153675;"2020-42"
"Brasil";2020-10-18;5380635;156903;"2020-43"
"Brasil";2020-10-25;5535460;159883;"2020-44"
"Brasil";2020-11-01;5653561;162269;"2020-45"
"Brasil";2020-11-08;5848959;165658;"2020-46"
"Brasil";2020-11-15;6052786;168989;"2020-47"
"Brasil";2020-11-22;6290272;172561;"2020-48"
"Brasil";2020-11-29;6577177;176628;"2020-49"
"Brasil";2020-12-06;6880127;181123;"2020-50"
"Brasil";2020-12-13;7200708;186205;"2020-51"
"Brasil";2020-12-20;7465806;190795;"2020-52"
"Brasil";2020-12-27;7716405;195725;"2020-53"
"Brasil";2021-01-03;8075998;202631;"2021-01"
"Brasil";2021-01-10;8455059;209296;"2021-02"
"Brasil";2021-01-17;8816254;216445;"2021-03"
"Brasil";2021-01-24;9176975;223945;"2021-04"
"Brasil";2021-01-31;9497795;231012;"2021-05"
"Brasil";2021-02-07;9809754;238532;"2021-06"
"Brasil";2021-02-14;10139148;245977;"2021-07"
"Brasil";2021-02-21;10517232;254221;"2021-08"
"Brasil";2021-02-28;10938836;264325;"2021-09"
"Brasil";2021-03-07;11438935;277091;"2021-10"
"Brasil";2021-03-14;11950459;292752;"2021-11"
"Brasil";2021-03-21;12490362;310550;"2021-12"
"Brasil";2021-03-28;12953597;330193;"2021-13"
"Brasil";2021-04-04;13445006;351334;"2021-14"
"Brasil";2021-04-11;13900091;371678;"2021-15"
"Brasil";2021-04-18;14308215;389492;"2021-16"
"Brasil";2021-04-25;14725975;406437;"2021-17"
