"datahora";"semana_epidem";"casos_acum";"obitos_acum"
2023-10-01;"2023-40";771139306;6690863
2023-10-08;"2023-41";771191203;6691014
2023-10-15;"2023-42";771191203;6961014
2023-10-22;"2023-43";771627119;6975732
2023-10-29;"2023-44";771679618;6977023
2023-11-05;"2023-45";771743786;6977655
2023-11-12;"2023-46";771820937;6978175
2023-11-19;"2023-47";771820937;6979786
2023-11-26;"2023-48";771952838;6981263
2023-12-03;"2023-49";772052752;6985278
2023-12-10;"2023-50";772138818;6985964
2023-12-17;"2023-51";772838745;6988679
2023-12-24;"2023-52";772838745;6988679
2023-12-31;"2024-01";773119173;6990067
2024-01-07;"2024-02";773819856;7010568
2024-01-14;"2024-03";773819856;7010568
2024-01-21;"2024-04";774075242;7012986
2024-01-28;"2024-05";774291287;7019704
2024-02-04;"2024-06";774395593;7023271
2024-02-11;"2024-07";774469939;7026465
2024-02-18;"2024-08";774593066;7028881
2024-02-25;"2024-09";774631444;7031216
2024-03-03;"2024-10";774699366;7033430
2024-03-10;"2024-11";774699366;7033430
2024-03-17;"2024-12";774889074;7038623
2024-03-24;"2024-13";774889074;7038623
2024-03-31;"2024-14";774954393;7040264
2024-04-07;"2024-15";775132086;7042222
2024-04-14;"2024-16";775251779;7043660
2024-04-21;"2024-17";775293630;7044637
2024-04-28;"2024-18";775335916;7045569
2024-05-05;"2024-19";775364261;7046320
2024-05-12;"2024-20";775379864;7047396
2024-05-19;"2024-21";775431269;7047741
2024-05-26;"2024-22";775481326;7049376
2024-06-02;"2024-23";775522404;7049617
2024-06-09;"2024-24";775522404;7050201
2024-06-16;"2024-25";775583309;7050691
2024-06-23;"2024-26";775615736;7051323
2024-06-30;"2024-27";775645882;7051876
2024-07-07;"2024-28";775678432;7052472
2024-07-14;"2024-29";775754322;7053902
2024-07-21;"2024-30";775673955;7053524
2024-07-28;"2024-31";775686716;7054093
2024-08-04;"2024-32";775731698;7054891
2024-08-11;"2024-33";775830200;7056108
2024-08-18;"2024-34";775867547;7057145
2024-08-25;"2024-35";775917102;7058381
2024-09-01;"2024-36";776007137;7059612
2024-09-08;"2024-37";776007137;7059612
2024-09-15;"2024-38";776137815;7061330
2024-09-22;"2024-39";776205140;7064380
2024-09-29;"2024-40";776281230;7065880
2024-10-06;"2024-41";776386491;7067260
2024-10-13;"2024-42";776471644;7068677
2024-10-20;"2024-43";776546006;7070128
2024-10-27;"2024-44";776618091;7071324
2024-11-03;"2024-45";776696616;7072509
2024-11-10;"2024-46";776754317;7073466
2024-11-17;"2024-47";776800090;7074897
2024-11-24;"2024-48";776841264;7075468
2024-12-01;"2024-49";776900603;7076521
2024-12-08;"2024-50";776947553;7076993
2024-12-15;"2024-51";776973432;7077725
2024-12-22;"2024-52";777026543;7078481
2024-12-29;"2024-53";777074803;7079142
2025-01-05;"2025-01";777112363;7079587
2025-01-12;"2025-02";777126421;7079925
2025-01-19;"2025-03";777310393;7083246
2025-01-26;"2025-04";777315739;7083869
2025-02-02;"2025-05";777335228;7084023
2025-02-09;"2025-06";777349085;7086633
2025-02-16;"2025-07";777368929;7087731
2025-02-23;"2025-08";777385370;7088757
2025-03-02;"2025-09";777504802;7089979
2025-03-09;"2025-10";777519152;7090776
2025-03-16;"2025-11";777594331;7089989
2025-03-23;"2025-12";777637340;7090480
2025-03-30;"2025-13";777664564;7091788
2025-04-06;"2025-14";777684506;7092720
2025-04-13;"2025-15";777684836;7092898
2025-04-20;"2025-16";777691501;7093267
2025-04-27;"2025-17";777720205;7094447
2025-05-04;"2025-18";777726897;7094925
2025-05-11;"2025-19";777745434;7095349
2025-05-18;"2025-20";777751597;7095536
2025-05-25;"2025-21";777825189;7095903
2025-06-01;"2025-22";777891034;7096187
2025-06-01;"2025-23";777950273;7096650
2025-06-08;"2025-24";778050175;7096935
2025-06-15;"2025-25";778050175;7096935
2025-06-22;"2025-26";778050175;7096935
2025-06-29;"2025-27";778050175;7096935
2025-07-06;"2025-28";778334521;7097975
2025-07-13;"2025-29";778365795;7098155
2025-07-20;"2025-30";778407760;7098440
2025-07-27;"2025-31";778424999;7098936
2025-08-03;"2025-32";778433861;7099104
2025-08-10;"2025-33";778457848;7099375
2025-08-17;"2025-34";778474217;7099716
2025-08-24;"2025-35";778491932;7099904
2025-08-31;"2025-36";778510178;7100227
2025-09-07;"2025-37";778537973;7100621
2025-09-14;"2025-38";778572430;7101070
2025-09-21;"2025-39";778612822;7101631
2025-09-28;"2025-40";778653604;7102195
2025-10-05;"2025-41";778653604;7102195
2025-10-12;"2025-42";778744518;7102678
2025-10-19;"2025-43";778781579;7102784
2025-10-26;"2025-44";778825062;7103098
2025-11-02;"2025-45";778825062;7103098
2025-11-09;"2025-46";778885759;7103253
2025-11-16;"2025-47";778885759;7103253
