"Cod_IBGE";"Grande região";"Município";"casos_acum";"obitos_acum"
3500105;"Interior";"Adamantina";12262;196
3500204;"Interior";"Adolfo";1369;28
3500303;"Interior";"Aguaí";8382;143
3500402;"Interior";"Águas da Prata";2395;41
3500501;"Interior";"Águas de Lindóia";5929;70
3500550;"Interior";"Águas de Santa Bárbara";626;25
3500600;"Interior";"Águas de São Pedro";490;17
3500709;"Interior";"Agudos";9486;124
3500758;"Interior";"Alambari";1755;13
3500808;"Interior";"Alfredo Marcondes";327;24
3500907;"Interior";"Altair";329;18
3501004;"Interior";"Altinópolis";1253;70
3501103;"Interior";"Alto Alegre";425;30
3501152;"Interior";"Alumínio";2287;56
3501202;"Interior";"Álvares Florence";663;20
3501301;"Interior";"Álvares Machado";4624;97
3501400;"Interior";"Álvaro de Carvalho";358;9
3501509;"Interior";"Alvinlândia";159;11
3501608;"Interior";"Americana";29916;1061
3501707;"Interior";"Américo Brasiliense";8276;117
3501806;"Interior";"Américo de Campos";1299;41
3501905;"Interior";"Amparo";10685;270
3502002;"Interior";"Analândia";890;6
3502101;"Interior";"Andradina";16546;327
3502200;"Interior";"Angatuba";6756;101
3502309;"Interior";"Anhembi";476;16
3502408;"Interior";"Anhumas";416;10
3502507;"Interior";"Aparecida";3019;130
3502606;"Interior";"Aparecida d'Oeste";2059;29
3502705;"Interior";"Apiaí";1815;112
3502754;"Interior";"Araçariguama";3393;81
3502804;"Interior";"Araçatuba";50147;1044
3502903;"Interior";"Araçoiaba da Serra";3329;108
3503000;"Interior";"Aramina";398;21
3503109;"Interior";"Arandu";670;23
3503158;"Interior";"Arapeí";277;7
3503208;"Interior";"Araraquara";76729;720
3503307;"Interior";"Araras";20538;473
3503356;"Interior";"Arco-Íris";728;10
3503406;"Interior";"Arealva";2392;33
3503505;"Interior";"Areias";402;7
3503604;"Interior";"Areiópolis";2429;33
3503703;"Interior";"Ariranha";1033;37
3503802;"Interior";"Artur Nogueira";9549;169
3503901;"RMSP (exceto capital)";"Arujá";12929;369
3503950;"Interior";"Aspásia";679;13
3504008;"Interior";"Assis";27690;506
3504107;"Interior";"Atibaia";13551;532
3504206;"Interior";"Auriflama";2592;92
3504305;"Interior";"Avaí";848;14
3504404;"Interior";"Avanhandava";2001;51
3504503;"Interior";"Avaré";15954;338
3504602;"Interior";"Bady Bassitt";5684;106
3504701;"Interior";"Balbinos";840;4
3504800;"Interior";"Bálsamo";3375;79
3504909;"Interior";"Bananal";1170;11
3505005;"Interior";"Barão de Antonina";1133;11
3505104;"Interior";"Barbosa";993;26
3505203;"Interior";"Bariri";8826;161
3505302;"Interior";"Barra Bonita";5688;131
3505351;"Interior";"Barra do Chapéu";469;16
3505401;"Interior";"Barra do Turvo";919;27
3505500;"Interior";"Barretos";35004;674
3505609;"Interior";"Barrinha";1789;98
3505708;"RMSP (exceto capital)";"Barueri";52834;1291
3505807;"Interior";"Bastos";4162;105
3505906;"Interior";"Batatais";7125;214
3506003;"Interior";"Bauru";97962;1542
3506102;"Interior";"Bebedouro";6259;369
3506201;"Interior";"Bento de Abreu";695;6
3506300;"Interior";"Bernardino de Campos";2076;42
3506359;"Interior";"Bertioga";11957;208
3506409;"Interior";"Bilac";973;27
3506508;"Interior";"Birigui";32627;669
