datahora;semana_epidem;casos_acum;obitos_acum
2020-02-23;2020-09;2;0
2020-03-01;2020-10;13;0
2020-03-08;2020-11;65;0
2020-03-15;2020-12;459;15
2020-03-22;2020-13;1406;84
2020-03-29;2020-14;4466;260
2020-04-05;2020-15;8419;560
2020-04-12;2020-16;13894;991
2020-04-19;2020-17;20004;1667
2020-04-26;2020-18;31174;2586
2020-05-03;2020-19;44411;3608
2020-05-10;2020-20;61183;4688
2020-05-17;2020-21;80558;6045
2020-05-24;2020-22;107142;7532
2020-05-31;2020-23;140549;9058
2020-06-07;2020-24;172875;10581
2020-06-14;2020-25;215793;12494
2020-06-21;2020-26;265581;14263
2020-06-28;2020-27;312530;15996
2020-07-05;2020-28;366890;17702
2020-07-12;2020-29;412027;19647
2020-07-19;2020-30;479481;21517
2020-07-26;2020-31;552318;23236
2020-08-02;2020-32;621731;25016
2020-08-09;2020-33;697530;26780
2020-08-16;2020-34;749244;28392
2020-08-23;2020-35;801422;29944
2020-08-30;2020-36;853085;31313
2020-09-06;2020-37;890690;32567
2020-09-13;2020-38;931673;33927
2020-09-20;2020-39;970888;35063
2020-09-27;2020-40;1003429;36136
2020-10-04;2020-41;1034816;37223
2020-10-11;2020-42;1062634;37992
2020-10-18;2020-43;1089255;38726
2020-10-25;2020-44;1116127;39311
2020-11-01;2020-45;1125936;39717
2020-11-08;2020-46;1167422;40549
2020-11-15;2020-47;1205435;41256
2020-11-22;2020-48;1238094;42048
2020-11-29;2020-49;1285087;42969
2020-12-06;2020-50;1333763;43971
2020-12-13;2020-51;1384100;45029
2020-12-20;2020-52;1423340;45808
2020-12-27;2020-53;1467953;46808
2021-01-03;2021-01;1540513;48298
2021-01-10;2021-02;1619619;49885
2021-01-17;2021-03;1694355;51423
2021-01-24;2021-04;1773024;52954
2021-01-31;2021-05;1845086;54545
2021-02-07;2021-06;1911411;56191
2021-02-14;2021-07;1971423;57743
2021-02-21;2021-08;2037267;59428
2021-02-28;2021-09;2107687;61417
2021-03-07;2021-10;2195130;63965
2021-03-14;2021-11;2298061;67414
2021-03-21;2021-12;2410498;71747
2021-03-28;2021-13;2520204;76750
2021-04-04;2021-14;2635378;82407
2021-04-11;2021-15;2739823;88097
2021-04-18;2021-16;2827833;92548
2021-04-25;2021-17;2918044;96941
2021-05-02;2021-18;2997282;100649
2021-05-09;2021-19;3085290;103995
2021-05-16;2021-20;3180595;107497
2021-05-23;2021-21;3254893;111123
2021-05-30;2021-22;3355201;114192
2021-06-06;2021-23;3449577;117887
2021-06-13;2021-24;3573210;121960
2021-06-20;2021-25;3688128;125916
2021-06-27;2021-26;3779408;129453
2021-07-04;2021-27;3860960;132065
2021-07-11;2021-28;3936849;134768
2021-07-18;2021-29;3997084;137211
2021-07-25;2021-30;4057868;138996
2021-08-01;2021-31;4113741;140677
2021-08-08;2021-32;4164587;142528
2021-08-15;2021-33;4209421;144185
2021-08-22;2021-34;4250474;145499
2021-08-29;2021-35;4288443;146526
2021-09-05;2021-36;4299629;147198
2021-09-12;2021-37;4350223;148079
2021-09-19;2021-38;4360548;149078
2021-09-26;2021-39;4369061;150050
2021-10-03;2021-40;4382863;150728
2021-10-10;2021-41;4389479;151107
2021-10-17;2021-42;4398737;151540
2021-10-24;2021-43;4405527;151975
2021-10-31;2021-44;4412182;152516
2021-11-07;2021-45;4421955;153058
2021-11-14;2021-46;4430190;153460
2021-11-21;2021-47;4437386;153993
2021-11-28;2021-48;4443589;154348
2021-12-05;2021-49;4449552;154691
2021-12-12;2021-50;4450144;155001
2021-12-19;2021-51;4450315;155096
2021-12-26;2021-52;4456469;155213
2022-01-02;2022-01;4470957;155364
2022-01-09;2022-02;4498145;155707
2022-01-16;2022-03;4557842;156434
2022-01-23;2022-04;4638360;157817
2022-01-30;2022-05;4740153;159536
2022-02-06;2022-06;4837857;161441
2022-02-13;2022-07;4929347;163134
2022-02-20;2022-08;5010949;164516
2022-02-27;2022-09;5057594;165275
2022-03-06;2022-10;5123695;166086
2022-03-13;2022-11;5177066;166651
2022-03-20;2022-12;5228413;167107
2022-03-27;2022-13;5271171;167483
2022-04-03;2022-14;5306969;167706
2022-04-10;2022-15;5337459;167847
2022-04-17;2022-16;5362856;168000
2022-04-24;2022-17;5389345;168223
2022-05-01;2022-18;5422332;168339
2022-05-08;2022-19;5447605;168669
2022-05-15;2022-20;5465958;168941
2022-05-22;2022-21;5499768;169213
2022-05-29;2022-22;5543461;169415
2022-06-05;2022-23;5591276;169836
2022-06-12;2022-24;5631464;170152
2022-06-19;2022-25;5682235;170600
2022-06-26;2022-26;5738245;171055
2022-07-03;2022-27;5794001;171562
2022-07-10;2022-28;5841003;172047
2022-07-17;2022-29;5880733;172536
2022-07-24;2022-30;5917268;172935
2022-07-31;2022-31;5948320;173316
2022-08-07;2022-32;5973090;173638
2022-08-14;2022-33;5997822;173918
2022-08-21;2022-34;6020485;174068
2022-08-28;2022-35;6039943;174271
2022-09-04;2022-36;6055094;174344
2022-09-11;2022-37;6070983;174492
2022-09-18;2022-38;6084326;174593
2022-09-25;2022-39;6099193;174795
2022-10-02;2022-40;6112706;175114
2022-10-09;2022-41;6122233;175252
2022-10-16;2022-42;6131859;175420
2022-10-23;2022-43;6143284;175552
2022-10-30;2022-44;6149503;175665
2022-11-06;2022-45;6162777;175850
2022-11-13;2022-46;6173439;175966
2022-11-20;2022-47;6189988;176160
2022-11-27;2022-48;6202864;176410
2022-12-04;2022-49;6228454;176628
2022-12-11;2022-50;6260732;176876
2022-12-18;2022-51;6293070;177204
2022-12-25;2022-52;6317252;177435
2023-01-01;2023-01;6344329;177738
2023-01-08;2023-02;6371047;177740
2023-01-15;2023-03;6393124;178178
2023-01-22;2023-04;6409106;178421
2023-01-29;2023-05;6421664;178632
2023-02-05;2023-06;6432834;178748
2023-02-12;2023-07;6446939;178852
2023-02-19;2023-08;6455277;178955
2023-02-26;2023-09;6472919;179057
2023-03-05;2023-10;6488320;179170
2023-03-12;2023-11;6503378;179270
2023-03-19;2023-12;6521550;179388
2023-03-26;2023-13;6541097;179529
2023-04-02;2023-14;6549523;179630
2023-04-09;2023-15;6557299;179737
2023-04-16;2023-16;6571274;179849
2023-04-23;2023-17;6581462;179916
2023-04-30;2023-18;6589278;179991
2023-05-07;2023-19;6600625;180094
2023-05-14;2023-20;6608242;180164
2023-05-21;2023-21;6612612;180253
2023-05-28;2023-22;6618980;180326
2023-06-04;2023-23;6621112;180368
2023-06-11;2023-24;6625304;180463
2023-06-18;2023-25;6629005;180587
2023-06-25;2023-26;6632471;180699
2023-07-02;2023-27;6635192;180759
2023-07-09;2023-28;6638169;180809
2023-07-16;2023-29;6641728;180871
2023-07-23;2023-30;6645220;180933
2023-07-30;2023-31;6649595;180969
2023-08-06;2023-32;6654197;181022
2023-08-13;2023-33;6658418;181068
2023-08-20;2023-34;6662170;181092
2023-08-27;2023-35;6665408;181118
2023-09-03;2023-36;6667639;181142
2023-09-10;2023-37;6673102;181186
2023-09-17;2023-38;6678167;181217
2023-09-24;2023-39;6682347;181264
2023-10-01;2023-40;6684519;181293
2023-10-08;2023-41;6689595;181354
2023-10-15;2023-42;6692803;181397
2023-10-22;2023-43;6702633;181504
2023-10-29;2023-44;6711714;181583
2023-11-05;2023-45;6718799;181655
2023-11-12;2023-46;6729244;181775
2023-11-19;2023-47;6735665;181853
2023-11-26;2023-48;6741338;181976
2023-12-03;2023-49;6744993;182040
2023-12-10;2023-50;6752117;182140
2023-12-17;2023-51;6756519;182188
2023-12-24;2023-52;6756519;182188
2023-12-31;2024-01;6763314;182254
2024-01-07;2024-02;6766000;182286
2024-01-14;2024-03;6768536;182322
2024-01-21;2024-04;6770955;182352
2024-01-28;2024-05;6774929;182424
2024-02-04;2024-06;6781243;182483
2024-02-11;2024-07;6785531;182528
2024-02-18;2024-08;6793333;182591
2024-02-25;2024-09;6800207;182645
2024-03-03;2024-10;6813132;182733
2024-03-10;2024-11;6824099;182836
2024-03-17;2024-12;6834373;182938
2024-03-24;2024-13;6841364;183036
2024-03-31;2024-14;6845216;183071
2024-04-07;2024-15;6851049;183150
2024-04-14;2024-16;6853131;183172
2024-04-21;2024-17;6854899;183252
2024-04-28;2024-18;6856552;183322
2024-05-05;2024-19;6857498;183344
2024-05-12;2024-20;6858006;183344
2024-05-19;2024-21;6858848;183428
2024-05-26;2024-22;6860355;183473
2024-06-02;2024-23;6860631;183490
2024-06-09;2024-24;6860913;183503
2024-06-16;2024-25;6860913;183503
2024-06-23;2024-26;6862684;183602
2024-06-30;2024-27;6862684;183602
2024-07-07;2024-28;6864292;183625
2024-07-14;2024-29;6864727;183639
2024-07-21;2024-30;6865929;183657
2024-07-28;2024-31;6866300;183657
2024-08-04;2024-32;6867843;183657
2024-08-11;2024-33;6870486;183716
2024-08-18;2024-34;6870486;183716
2024-08-25;2024-35;6878813;183771
2024-09-01;2024-36;6880418;183849
2024-09-08;2024-37;6883556;183849
2024-09-15;2024-38;6883556;183849
2024-09-22;2024-39;6892567;184024
2024-09-29;2024-40;6896665;184063
2024-10-06;2024-41;6900086;184106
2024-10-13;2024-42;6903491;184150
2024-10-20;2024-43;6905347;184185
2024-10-27;2024-44;6906821;184210
2024-11-03;2024-45;6907745;184235
2024-11-10;2024-46;6909664;184244
2024-11-17;2024-47;6909664;184244
2024-11-24;2024-48;6909664;184244
2024-12-01;2024-49;6909664;184244
2024-12-08;2024-50;6914391;184244
2024-12-15;2024-51;6915383;184248
2024-12-22;2024-52;6916704;184269
2024-12-29;2025-01;6917083;184290
2025-01-05;2025-02;6917083;184290
2025-01-12;2025-03;6919139;184290
2025-01-19;2025-04;6921821;184389
2025-01-26;2025-05;6921821;184389
2025-02-02;2025-06;6925289;184432
2025-02-09;2025-07;6925883;184442
2025-02-16;2025-08;6930940;184527
2025-02-23;2025-09;6934757;184552
2025-03-02;2025-10;6934757;184552
2025-03-09;2025-11;6939301;184646
2025-03-16;2025-12;6942460;184718
2025-03-23;2025-13;6942460;184718
2025-03-30;2025-14;6946656;184754
2025-04-06;2025-15;6947713;184835
2025-04-13;2025-16;6947713;184835
2025-04-20;2025-17;6949494;184991
2025-04-27;2025-18;6949494;184991
2025-05-04;2025-19;6951006;185032
2025-05-11;2025-20;6951006;185032
2025-05-18;2025-21;6951848;185048
2025-05-25;2025-22;6952508;185051
2025-06-01;2025-23;6952790;185063
2025-06-08;2025-24;6952790;185063
2025-06-15;2025-25;6953765;185085
2025-06-22;2025-26;6953765;185085
2025-06-29;2025-27;6954091;185103
2025-07-06;2025-28;6954091;185103
2025-07-13;2025-29;6954839;185174
2025-07-20;2025-30;6954839;185174
2025-07-27;2025-31;6956703;185196
2025-08-03;2025-32;6956976;185212
2025-08-10;2025-33;6956976;185212
2025-08-17;2025-34;6956976;185212
2025-08-24;2025-35;6956976;185212
2025-08-31;2025-36;6960641;185212
2025-09-07;2025-37;6961460;185274
2025-09-14;2025-38;6962949;185298
2025-09-21;2025-39;6962949;185298
2025-09-28;2025-40;6965311;185298
2025-10-05;2025-41;6967217;185298
2025-10-12;2025-42;6967217;185298
2025-10-19;2025-43;6967217;185298
2025-10-26;2025-44;6967217;185298
2025-11-02;2025-45;6972239;185406
2025-11-09;2025-46;6972239;185406
2025-11-16;2025-47;6974275;185498
